timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,sensor_type,activity_type,activity_code,subject_id,notes,recording_id
1636807710853,0.15551758,-0.27105713,0.059020996,-21.5625,16.046875,-13.4375,Respeck,Running,11,s1234567,,Respeck_s1234567_Running_13-11-2021_12-48-41
1636807710886,-0.16455078,0.17596436,-0.20855713,-4.234375,12.53125,-4.296875,Respeck,Running,11,s1234567,,Respeck_s1234567_Running_13-11-2021_12-48-41
1636807710930,-0.00024414062,0.26654053,-0.07696533,-12.78125,20.96875,-2.828125,Respeck,Running,11,s1234567,,Respeck_s1234567_Running_13-11-2021_12-48-41
1636807710973,-0.079589844,-0.0005493164,0.027526855,17.546875,21.609375,9.34375,Respeck,Running,11,s1234567,,Respeck_s1234567_Running_13-11-2021_12-48-41
1636807711006,-0.32226562,-0.28692627,-0.70440674,73.28125,-14.90625,19.546875,Respeck,Running,11,s1234567,,Respeck_s1234567_Running_13-11-2021_12-48-41
1636807711050,0.92456055,-2.0,-0.023742676,-56.890625,-17.9375,-10.6875,Respeck,Running,11,s1234567,,Respeck_s1234567_Running_13-11-2021_12-48-41
1636807711079,0.18237305,-1.4343872,0.6178589,7.421875,48.421875,59.671875,Respeck,Running,11,s1234567,,Respeck_s1234567_Running_13-11-2021_12-48-41
1636807711126,-0.5083008,-1.9570923,-0.20953369,-35.625,-20.078125,-12.234375,Respeck,Running,11,s1234567,,Respeck_s1234567_Running_13-11-2021_12-48-41
1636807711170,0.7441406,-1.8167114,-0.14752197,-19.53125,60.796875,16.125,Respeck,Running,11,s1234567,,Respeck_s1234567_Running_13-11-2021_12-48-41
1636807711198,0.25927734,-0.52471924,-0.022766113,-25.96875,21.078125,9.28125,Respeck,Running,11,s1234567,,Respeck_s1234567_Running_13-11-2021_12-48-41
1636807711247,-0.16015625,-0.21051025,-0.07989502,-4.96875,42.46875,16.96875,Respeck,Running,11,s1234567,,Respeck_s1234567_Running_13-11-2021_12-48-41
1636807711289,0.30078125,0.35321045,-0.269104,-10.703125,-14.1875,10.484375,Respeck,Running,11,s1234567,,Respeck_s1234567_Running_13-11-2021_12-48-41
1636807711318,0.17993164,0.19158936,0.113708496,7.84375,-37.453125,10.265625,Respeck,Running,11,s1234567,,Respeck_s1234567_Running_13-11-2021_12-48-41
1636807711366,-0.05029297,-0.026428223,-0.32989502,21.40625,-35.578125,-1.046875,Respeck,Running,11,s1234567,,Respeck_s1234567_Running_13-11-2021_12-48-41
1636807711409,0.57006836,-1.2756958,0.12689209,-14.671875,-57.75,-59.296875,Respeck,Running,11,s1234567,,Respeck_s1234567_Running_13-11-2021_12-48-41
1636807711439,1.3210449,-2.0,0.13104248,3.359375,-54.703125,26.5,Respeck,Running,11,s1234567,,Respeck_s1234567_Running_13-11-2021_12-48-41
1636807711486,-0.08935547,-1.7168578999999995,-0.3735962,-5.03125,1.25,-33.6875,Respeck,Running,11,s1234567,,Respeck_s1234567_Running_13-11-2021_12-48-41
1636807711516,-0.26464844,-1.3740845,0.15911865,30.4375,-12.671875,9.25,Respeck,Running,11,s1234567,,Respeck_s1234567_Running_13-11-2021_12-48-41
1636807711558,0.09838867,-1.6604613999999998,0.15570068,2.984375,-11.28125,-31.90625,Respeck,Running,11,s1234567,,Respeck_s1234567_Running_13-11-2021_12-48-41
1636807711606,0.12890625,-0.17999268,-0.028625488,2.484375,21.546875,-13.53125,Respeck,Running,11,s1234567,,Respeck_s1234567_Running_13-11-2021_12-48-41
1636807711639,-0.1694336,0.3793335,-0.17852783,-1.296875,15.546875,-5.546875,Respeck,Running,11,s1234567,,Respeck_s1234567_Running_13-11-2021_12-48-41
1636807711679,-0.01977539,0.19915771,-0.12652588,-20.1875,22.625,-5.984375,Respeck,Running,11,s1234567,,Respeck_s1234567_Running_13-11-2021_12-48-41
1636807711727,-0.11352539,-0.094055176,0.1251831,8.84375,11.765625,7.5,Respeck,Running,11,s1234567,,Respeck_s1234567_Running_13-11-2021_12-48-41
1636807711754,-0.17041016,-0.72979736,-0.76763916,25.078125,-29.875,16.6875,Respeck,Running,11,s1234567,,Respeck_s1234567_Running_13-11-2021_12-48-41
1636807711798,0.8688965,-2.0,0.40863037,-29.453125,-9.78125,-0.0625,Respeck,Running,11,s1234567,,Respeck_s1234567_Running_13-11-2021_12-48-41
1636807711850,-0.016601562,-1.0264282,0.109313965,20.390625,13.375,25.984375,Respeck,Running,11,s1234567,,Respeck_s1234567_Running_13-11-2021_12-48-41
1636807711875,-0.4572754,-2.0,0.53778076,-11.328125,12.78125,4.6875,Respeck,Running,11,s1234567,,Respeck_s1234567_Running_13-11-2021_12-48-41
1636807711918,0.5720215,-1.5457153,-0.39068604,-39.265625,22.421875,19.046875,Respeck,Running,11,s1234567,,Respeck_s1234567_Running_13-11-2021_12-48-41
1636807711999,0.16821289,-0.41583252,0.0758667,-19.53125,29.71875,17.3125,Respeck,Running,11,s1234567,,Respeck_s1234567_Running_13-11-2021_12-48-41
1636807712005,-0.08862305,-0.25738525,-0.20196533,-12.265625,36.578125,13.953125,Respeck,Running,11,s1234567,,Respeck_s1234567_Running_13-11-2021_12-48-41
1636807712039,0.31640625,0.32781982,-0.18243408,-14.546875,-4.9375,3.09375,Respeck,Running,11,s1234567,,Respeck_s1234567_Running_13-11-2021_12-48-41
1636807712068,0.10107422,0.2218628,0.089782715,-11.015625,-24.109375,2.890625,Respeck,Running,11,s1234567,,Respeck_s1234567_Running_13-11-2021_12-48-41
1636807712117,0.15625,-0.14337158,-0.3916626,14.828125,-48.59375,-19.953125,Respeck,Running,11,s1234567,,Respeck_s1234567_Running_13-11-2021_12-48-41
1636807712158,0.72924805,-1.9102173,0.35882568,42.46875,-31.796875,-58.671875,Respeck,Running,11,s1234567,,Respeck_s1234567_Running_13-11-2021_12-48-41
1636807712188,0.64575195,-2.0,0.22650146,-21.65625,-35.078125,3.0,Respeck,Running,11,s1234567,,Respeck_s1234567_Running_13-11-2021_12-48-41
1636807712238,-0.027832031,-1.640686,-0.5857544,8.046875,-41.234375,-2.140625,Respeck,Running,11,s1234567,,Respeck_s1234567_Running_13-11-2021_12-48-41
1636807712280,-0.29711914,-1.7551880000000002,0.33709717,15.59375,24.5625,12.625,Respeck,Running,11,s1234567,,Respeck_s1234567_Running_13-11-2021_12-48-41
1636807712309,0.3425293,-1.1331177,0.1408081,-16.03125,-18.625,-32.015625,Respeck,Running,11,s1234567,,Respeck_s1234567_Running_13-11-2021_12-48-41
1636807712357,0.023925781,-0.024963379,0.08441162,-2.359375,6.203125,-4.21875,Respeck,Running,11,s1234567,,Respeck_s1234567_Running_13-11-2021_12-48-41
1636807712398,-0.22314453,0.24505615,-0.16412354,-15.5625,7.640625,-5.3125,Respeck,Running,11,s1234567,,Respeck_s1234567_Running_13-11-2021_12-48-41
1636807712428,-0.037597656,0.20013428,-0.05670166,-12.875,28.609375,-12.390625,Respeck,Running,11,s1234567,,Respeck_s1234567_Running_13-11-2021_12-48-41
1636807712476,-0.18603516,-0.108947754,0.14178467,2.34375,33.65625,1.125,Respeck,Running,11,s1234567,,Respeck_s1234567_Running_13-11-2021_12-48-41
1636807712519,0.0012207031,-1.2410278,-0.7192993000000001,-13.828125,-13.96875,27.921875,Respeck,Running,11,s1234567,,Respeck_s1234567_Running_13-11-2021_12-48-41
1636807712549,0.20483398,-2.0,0.44696045,19.96875,57.234375,9.703125,Respeck,Running,11,s1234567,,Respeck_s1234567_Running_13-11-2021_12-48-41
1636807712600,-0.0690918,-0.9360962,-0.41656494,19.03125,49.21875,4.125,Respeck,Running,11,s1234567,,Respeck_s1234567_Running_13-11-2021_12-48-41
1636807712626,-0.38256836,-2.0,0.81414795,3.671875,26.96875,20.078125,Respeck,Running,11,s1234567,,Respeck_s1234567_Running_13-11-2021_12-48-41
1636807712669,0.6574707,-1.1362915,-0.37457275,-57.890625,13.1875,18.609375,Respeck,Running,11,s1234567,,Respeck_s1234567_Running_13-11-2021_12-48-41
1636807712714,-0.12548828,-0.41412354,0.17059326,-21.578125,29.53125,11.75,Respeck,Running,11,s1234567,,Respeck_s1234567_Running_13-11-2021_12-48-41
1636807712746,0.05517578,-0.17926025,-0.35357666,-31.1875,8.09375,-4.96875,Respeck,Running,11,s1234567,,Respeck_s1234567_Running_13-11-2021_12-48-41
1636807712788,0.3659668,0.2411499,-0.13775635,-2.6875,-4.765625,-3.234375,Respeck,Running,11,s1234567,,Respeck_s1234567_Running_13-11-2021_12-48-41
1636807712839,0.02758789,0.20599365,-0.035949707,6.625,-13.078125,-0.015625,Respeck,Running,11,s1234567,,Respeck_s1234567_Running_13-11-2021_12-48-41
1636807712865,0.22558594,-0.5623169,-0.16143799,9.859375,-53.5625,-32.578125,Respeck,Running,11,s1234567,,Respeck_s1234567_Running_13-11-2021_12-48-41
1636807712908,0.53393555,-2.0,0.35198975,87.90625,-41.828125,-18.75,Respeck,Running,11,s1234567,,Respeck_s1234567_Running_13-11-2021_12-48-41
1636807712963,0.09057617,-2.0,0.16009521,-31.21875,-20.28125,-16.953125,Respeck,Running,11,s1234567,,Respeck_s1234567_Running_13-11-2021_12-48-41
1636807712986,-0.15917969,-1.8057251,0.09051514,22.703125,-32.6875,12.578125,Respeck,Running,11,s1234567,,Respeck_s1234567_Running_13-11-2021_12-48-41
1636807713028,-0.10449219,-1.7407837,0.20281982,16.765625,-31.265625,-8.609375,Respeck,Running,11,s1234567,,Respeck_s1234567_Running_13-11-2021_12-48-41
1636807713058,0.19628906,-0.7161255,0.13153076,-9.109375,-0.5,-20.609375,Respeck,Running,11,s1234567,,Respeck_s1234567_Running_13-11-2021_12-48-41
1636807713106,-0.0690918,0.19476318,-0.005432129,5.140625,10.796875,-10.40625,Respeck,Running,11,s1234567,,Respeck_s1234567_Running_13-11-2021_12-48-41
1636807713150,-0.10986328,0.33026123,-0.18145752,-13.65625,18.375,-12.34375,Respeck,Running,11,s1234567,,Respeck_s1234567_Running_13-11-2021_12-48-41
1636807713182,0.06665039,0.07171631,0.050476074,-12.46875,18.9375,-8.390625,Respeck,Running,11,s1234567,,Respeck_s1234567_Running_13-11-2021_12-48-41
1636807713227,-0.28710938,-0.15533447,-0.3093872,32.0625,1.453125,9.203125,Respeck,Running,11,s1234567,,Respeck_s1234567_Running_13-11-2021_12-48-41
1636807713268,0.4321289000000001,-2.0,-0.120666504,-53.375,-24.046875,-7.21875,Respeck,Running,11,s1234567,,Respeck_s1234567_Running_13-11-2021_12-48-41
1636807713300,0.15063477,-2.0,0.3793335,94.40625,35.484375,72.046875,Respeck,Running,11,s1234567,,Respeck_s1234567_Running_13-11-2021_12-48-41
1636807713350,0.040039062,-1.6965941999999998,-0.49176025,-21.484375,-12.171875,-8.875,Respeck,Running,11,s1234567,,Respeck_s1234567_Running_13-11-2021_12-48-41
1636807713388,0.05029297,-2.0,0.49432373,30.953125,34.265625,44.25,Respeck,Running,11,s1234567,,Respeck_s1234567_Running_13-11-2021_12-48-41
1636807713418,0.49804688,-0.62335205,-0.2744751,-55.5625,-8.96875,16.984375,Respeck,Running,11,s1234567,,Respeck_s1234567_Running_13-11-2021_12-48-41
1636807713467,-0.30566406,-0.51397705,0.02508545,-7.625,44.109375,-2.359375,Respeck,Running,11,s1234567,,Respeck_s1234567_Running_13-11-2021_12-48-41
1636807713539,0.099853516,-0.029846191,-0.32965088,1.0,40.859375,3.234375,Respeck,Running,11,s1234567,,Respeck_s1234567_Running_13-11-2021_12-48-41
